,date,month,year,instruments,volume
120,2018-01-01,1,2018,Asset-Backed Securities_All,1768
84,2018-01-01,1,2018,Corporate Bonds_Over 10 years,4315
72,2018-01-01,1,2018,Corporate Bonds_Under 10 years,53226
36,2018-01-01,1,2018,Federal Crown Corporation Bonds_All,44893
144,2018-01-01,1,2018,Government of Canada Bonds_All,820
108,2018-01-01,1,2018,Mortgage Backed Securities_All,5155
96,2018-01-01,1,2018,Municipal Bonds_All,2654
132,2018-01-01,1,2018,Other Domestic Bonds_All,1416
168,2018-01-01,1,2018,Other_All,972
156,2018-01-01,1,2018,Provincial Bonds_All,2277
60,2018-01-01,1,2018,Provincial Bonds_Over 10 years,32393
48,2018-01-01,1,2018,Provincial Bonds_Under 10 years,77735
0,2018-01-01,1,2018,The Month_3-10 years,507775
12,2018-01-01,1,2018,The Month_Over 10 years,63294
24,2018-01-01,1,2018,The Month_Real Return Bonds,2641
121,2018-02-01,2,2018,Asset-Backed Securities_All,742
85,2018-02-01,2,2018,Corporate Bonds_Over 10 years,4582
73,2018-02-01,2,2018,Corporate Bonds_Under 10 years,39587
37,2018-02-01,2,2018,Federal Crown Corporation Bonds_All,48107
145,2018-02-01,2,2018,Government of Canada Bonds_All,301
109,2018-02-01,2,2018,Mortgage Backed Securities_All,9167
97,2018-02-01,2,2018,Municipal Bonds_All,2899
133,2018-02-01,2,2018,Other Domestic Bonds_All,1138
169,2018-02-01,2,2018,Other_All,1246
157,2018-02-01,2,2018,Provincial Bonds_All,1802
61,2018-02-01,2,2018,Provincial Bonds_Over 10 years,22698
49,2018-02-01,2,2018,Provincial Bonds_Under 10 years,62771
1,2018-02-01,2,2018,The Month_3-10 years,518902
13,2018-02-01,2,2018,The Month_Over 10 years,63215
25,2018-02-01,2,2018,The Month_Real Return Bonds,1451
122,2018-03-01,3,2018,Asset-Backed Securities_All,778
86,2018-03-01,3,2018,Corporate Bonds_Over 10 years,4942
74,2018-03-01,3,2018,Corporate Bonds_Under 10 years,43822
38,2018-03-01,3,2018,Federal Crown Corporation Bonds_All,59983
146,2018-03-01,3,2018,Government of Canada Bonds_All,372
110,2018-03-01,3,2018,Mortgage Backed Securities_All,11471
98,2018-03-01,3,2018,Municipal Bonds_All,3408
134,2018-03-01,3,2018,Other Domestic Bonds_All,339
170,2018-03-01,3,2018,Other_All,1673
158,2018-03-01,3,2018,Provincial Bonds_All,2462
62,2018-03-01,3,2018,Provincial Bonds_Over 10 years,27362
50,2018-03-01,3,2018,Provincial Bonds_Under 10 years,66042
2,2018-03-01,3,2018,The Month_3-10 years,465056
14,2018-03-01,3,2018,The Month_Over 10 years,64116
26,2018-03-01,3,2018,The Month_Real Return Bonds,1499
123,2018-04-01,4,2018,Asset-Backed Securities_All,978
87,2018-04-01,4,2018,Corporate Bonds_Over 10 years,4570
75,2018-04-01,4,2018,Corporate Bonds_Under 10 years,43111
39,2018-04-01,4,2018,Federal Crown Corporation Bonds_All,57662
147,2018-04-01,4,2018,Government of Canada Bonds_All,548
111,2018-04-01,4,2018,Mortgage Backed Securities_All,9195
99,2018-04-01,4,2018,Municipal Bonds_All,2858
135,2018-04-01,4,2018,Other Domestic Bonds_All,1160
171,2018-04-01,4,2018,Other_All,1447
159,2018-04-01,4,2018,Provincial Bonds_All,2216
63,2018-04-01,4,2018,Provincial Bonds_Over 10 years,33561
51,2018-04-01,4,2018,Provincial Bonds_Under 10 years,73946
3,2018-04-01,4,2018,The Month_3-10 years,428842
15,2018-04-01,4,2018,The Month_Over 10 years,72739
27,2018-04-01,4,2018,The Month_Real Return Bonds,2239
124,2018-05-01,5,2018,Asset-Backed Securities_All,1412
88,2018-05-01,5,2018,Corporate Bonds_Over 10 years,4555
76,2018-05-01,5,2018,Corporate Bonds_Under 10 years,50911
40,2018-05-01,5,2018,Federal Crown Corporation Bonds_All,53539
148,2018-05-01,5,2018,Government of Canada Bonds_All,331
112,2018-05-01,5,2018,Mortgage Backed Securities_All,5164
100,2018-05-01,5,2018,Municipal Bonds_All,2370
136,2018-05-01,5,2018,Other Domestic Bonds_All,7543
172,2018-05-01,5,2018,Other_All,1326
160,2018-05-01,5,2018,Provincial Bonds_All,2136
64,2018-05-01,5,2018,Provincial Bonds_Over 10 years,47121
