,date,month,year,instruments,volume
120,2018-01-01,1,2018,Asset-Backed Securities_All,0
84,2018-01-01,1,2018,Corporate Bonds_Over 10 years,1489
72,2018-01-01,1,2018,Corporate Bonds_Under 10 years,33221
36,2018-01-01,1,2018,Federal Crown Corporation Bonds_All,219620
144,2018-01-01,1,2018,Government of Canada Bonds_All,1199
108,2018-01-01,1,2018,Mortgage Backed Securities_All,30373
96,2018-01-01,1,2018,Municipal Bonds_All,724
132,2018-01-01,1,2018,Other Domestic Bonds_All,390
168,2018-01-01,1,2018,Other_All,2081
156,2018-01-01,1,2018,Provincial Bonds_All,7325
60,2018-01-01,1,2018,Provincial Bonds_Over 10 years,75066
48,2018-01-01,1,2018,Provincial Bonds_Under 10 years,203561
0,2018-01-01,1,2018,The Month_3-10 years,700671
12,2018-01-01,1,2018,The Month_Over 10 years,182886
24,2018-01-01,1,2018,The Month_Real Return Bonds,70124
121,2018-02-01,2,2018,Asset-Backed Securities_All,0
85,2018-02-01,2,2018,Corporate Bonds_Over 10 years,843
73,2018-02-01,2,2018,Corporate Bonds_Under 10 years,25208
37,2018-02-01,2,2018,Federal Crown Corporation Bonds_All,157614
145,2018-02-01,2,2018,Government of Canada Bonds_All,578
109,2018-02-01,2,2018,Mortgage Backed Securities_All,32149
97,2018-02-01,2,2018,Municipal Bonds_All,1247
133,2018-02-01,2,2018,Other Domestic Bonds_All,996
169,2018-02-01,2,2018,Other_All,1303
157,2018-02-01,2,2018,Provincial Bonds_All,4258
61,2018-02-01,2,2018,Provincial Bonds_Over 10 years,67253
49,2018-02-01,2,2018,Provincial Bonds_Under 10 years,151324
1,2018-02-01,2,2018,The Month_3-10 years,652981
13,2018-02-01,2,2018,The Month_Over 10 years,157302
25,2018-02-01,2,2018,The Month_Real Return Bonds,57871
122,2018-03-01,3,2018,Asset-Backed Securities_All,0
86,2018-03-01,3,2018,Corporate Bonds_Over 10 years,1317
74,2018-03-01,3,2018,Corporate Bonds_Under 10 years,29567
38,2018-03-01,3,2018,Federal Crown Corporation Bonds_All,183978
146,2018-03-01,3,2018,Government of Canada Bonds_All,440
110,2018-03-01,3,2018,Mortgage Backed Securities_All,16168
98,2018-03-01,3,2018,Municipal Bonds_All,1634
134,2018-03-01,3,2018,Other Domestic Bonds_All,701
170,2018-03-01,3,2018,Other_All,4956
158,2018-03-01,3,2018,Provincial Bonds_All,9150
62,2018-03-01,3,2018,Provincial Bonds_Over 10 years,73530
50,2018-03-01,3,2018,Provincial Bonds_Under 10 years,192559
2,2018-03-01,3,2018,The Month_3-10 years,641471
14,2018-03-01,3,2018,The Month_Over 10 years,182064
26,2018-03-01,3,2018,The Month_Real Return Bonds,56317
123,2018-04-01,4,2018,Asset-Backed Securities_All,17
87,2018-04-01,4,2018,Corporate Bonds_Over 10 years,1128
75,2018-04-01,4,2018,Corporate Bonds_Under 10 years,33218
39,2018-04-01,4,2018,Federal Crown Corporation Bonds_All,190949
147,2018-04-01,4,2018,Government of Canada Bonds_All,2193
111,2018-04-01,4,2018,Mortgage Backed Securities_All,15525
99,2018-04-01,4,2018,Municipal Bonds_All,1340
135,2018-04-01,4,2018,Other Domestic Bonds_All,1541
171,2018-04-01,4,2018,Other_All,1367
159,2018-04-01,4,2018,Provincial Bonds_All,2147
63,2018-04-01,4,2018,Provincial Bonds_Over 10 years,82287
51,2018-04-01,4,2018,Provincial Bonds_Under 10 years,161577
3,2018-04-01,4,2018,The Month_3-10 years,580843
15,2018-04-01,4,2018,The Month_Over 10 years,161000
27,2018-04-01,4,2018,The Month_Real Return Bonds,54320
124,2018-05-01,5,2018,Asset-Backed Securities_All,17
88,2018-05-01,5,2018,Corporate Bonds_Over 10 years,1261
76,2018-05-01,5,2018,Corporate Bonds_Under 10 years,30735
40,2018-05-01,5,2018,Federal Crown Corporation Bonds_All,181194
148,2018-05-01,5,2018,Government of Canada Bonds_All,6775
112,2018-05-01,5,2018,Mortgage Backed Securities_All,12347
100,2018-05-01,5,2018,Municipal Bonds_All,1866
136,2018-05-01,5,2018,Other Domestic Bonds_All,1487
172,2018-05-01,5,2018,Other_All,2896
160,2018-05-01,5,2018,Provincial Bonds_All,7310
64,2018-05-01,5,2018,Provincial Bonds_Over 10 years,92056
52,2018-05-01,5,2018,Provincial Bonds_Under 10 years,191229
4,2018-05-01,5,2018,The Month_3-10 years,635299
16,2018-05-01,5,2018,The Month_Over 10 years,221547
28,2018-05-01,5,2018,The Month_Real Return Bonds,50762
125,2018-06-01,6,2018,Asset-Backed Securities_All,34
89,2018-06-01,6,2018,Corporate Bonds_Over 10 years,1700
77,2018-06-01,6,2018,Corporate Bonds_Under 10 years,30529
41,2018-06-01,6,2018,Federal Crown Corporation Bonds_All,195726
149,2018-06-01,6,2018,Government of Canada Bonds_All,1504
113,2018-06-01,6,2018,Mortgage Backed Securities_All,12352
101,2018-06-01,6,2018,Municipal Bonds_All,2901
137,2018-06-01,6,2018,Other Domestic Bonds_All,1687
173,2018-06-01,6,2018,Other_All,2577
161,2018-06-01,6,2018,Provincial Bonds_All,4176
65,2018-06-01,6,2018,Provincial Bonds_Over 10 years,72269
53,2018-06-01,6,2018,Provincial Bonds_Under 10 years,194081
5,2018-06-01,6,2018,The Month_3-10 years,632726
17,2018-06-01,6,2018,The Month_Over 10 years,136674
29,2018-06-01,6,2018,The Month_Real Return Bonds,55974
126,2018-07-01,7,2018,Asset-Backed Securities_All,0
90,2018-07-01,7,2018,Corporate Bonds_Over 10 years,2452
78,2018-07-01,7,2018,Corporate Bonds_Under 10 years,42442
42,2018-07-01,7,2018,Federal Crown Corporation Bonds_All,221342
150,2018-07-01,7,2018,Government of Canada Bonds_All,364
114,2018-07-01,7,2018,Mortgage Backed Securities_All,10987
102,2018-07-01,7,2018,Municipal Bonds_All,1420
138,2018-07-01,7,2018,Other Domestic Bonds_All,2106
174,2018-07-01,7,2018,Other_All,2366
162,2018-07-01,7,2018,Provincial Bonds_All,5430
66,2018-07-01,7,2018,Provincial Bonds_Over 10 years,91989
54,2018-07-01,7,2018,Provincial Bonds_Under 10 years,222184
6,2018-07-01,7,2018,The Month_3-10 years,610724
18,2018-07-01,7,2018,The Month_Over 10 years,139986
30,2018-07-01,7,2018,The Month_Real Return Bonds,63715
127,2018-08-01,8,2018,Asset-Backed Securities_All,17
91,2018-08-01,8,2018,Corporate Bonds_Over 10 years,1243
79,2018-08-01,8,2018,Corporate Bonds_Under 10 years,30457
43,2018-08-01,8,2018,Federal Crown Corporation Bonds_All,246840
151,2018-08-01,8,2018,Government of Canada Bonds_All,490
115,2018-08-01,8,2018,Mortgage Backed Securities_All,16884
103,2018-08-01,8,2018,Municipal Bonds_All,1769
