,date,month,year,instruments,volume,Segment,AssetClass,Duration
12,2018-01-01,1,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,3623,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
24,2018-01-01,1,2018,Corporate Bonds_Banks,2027,CORP,Corporate Bonds,Banks
36,2018-01-01,1,2018,Corporate Bonds_Institutional Clients,38740,CORP,Corporate Bonds,Institutional Clients
0,2018-01-01,1,2018,Corporate Bonds_Investment Dealers,3650,CORP,Corporate Bonds,Investment Dealers
72,2018-01-01,1,2018,Corporate Bonds_Issuer,16,CORP,Corporate Bonds,Issuer
60,2018-01-01,1,2018,Corporate Bonds_Non-Residents,8038,CORP,Corporate Bonds,Non-Residents
48,2018-01-01,1,2018,Corporate Bonds_Retail Clients,1446,CORP,Corporate Bonds,Retail Clients
96,2018-01-01,1,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
108,2018-01-01,1,2018,Other Domestic Bonds_Banks,23,CORP,Other Domestic Bonds,Banks
120,2018-01-01,1,2018,Other Domestic Bonds_Institutional Clients,715,CORP,Other Domestic Bonds,Institutional Clients
84,2018-01-01,1,2018,Other Domestic Bonds_Investment Dealers,9,CORP,Other Domestic Bonds,Investment Dealers
156,2018-01-01,1,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
144,2018-01-01,1,2018,Other Domestic Bonds_Non-Residents,663,CORP,Other Domestic Bonds,Non-Residents
132,2018-01-01,1,2018,Other Domestic Bonds_Retail Clients,6,CORP,Other Domestic Bonds,Retail Clients
13,2018-02-01,2,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2664,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
25,2018-02-01,2,2018,Corporate Bonds_Banks,1221,CORP,Corporate Bonds,Banks
37,2018-02-01,2,2018,Corporate Bonds_Institutional Clients,32972,CORP,Corporate Bonds,Institutional Clients
1,2018-02-01,2,2018,Corporate Bonds_Investment Dealers,2381,CORP,Corporate Bonds,Investment Dealers
73,2018-02-01,2,2018,Corporate Bonds_Issuer,21,CORP,Corporate Bonds,Issuer
61,2018-02-01,2,2018,Corporate Bonds_Non-Residents,3758,CORP,Corporate Bonds,Non-Residents
49,2018-02-01,2,2018,Corporate Bonds_Retail Clients,1153,CORP,Corporate Bonds,Retail Clients
97,2018-02-01,2,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
109,2018-02-01,2,2018,Other Domestic Bonds_Banks,0,CORP,Other Domestic Bonds,Banks
121,2018-02-01,2,2018,Other Domestic Bonds_Institutional Clients,29,CORP,Other Domestic Bonds,Institutional Clients
85,2018-02-01,2,2018,Other Domestic Bonds_Investment Dealers,10,CORP,Other Domestic Bonds,Investment Dealers
157,2018-02-01,2,2018,Other Domestic Bonds_Issuer,810.0,CORP,Other Domestic Bonds,Issuer
145,2018-02-01,2,2018,Other Domestic Bonds_Non-Residents,287,CORP,Other Domestic Bonds,Non-Residents
133,2018-02-01,2,2018,Other Domestic Bonds_Retail Clients,2,CORP,Other Domestic Bonds,Retail Clients
14,2018-03-01,3,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2455,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
26,2018-03-01,3,2018,Corporate Bonds_Banks,869,CORP,Corporate Bonds,Banks
38,2018-03-01,3,2018,Corporate Bonds_Institutional Clients,35330,CORP,Corporate Bonds,Institutional Clients
2,2018-03-01,3,2018,Corporate Bonds_Investment Dealers,2610,CORP,Corporate Bonds,Investment Dealers
74,2018-03-01,3,2018,Corporate Bonds_Issuer,184,CORP,Corporate Bonds,Issuer
62,2018-03-01,3,2018,Corporate Bonds_Non-Residents,5742,CORP,Corporate Bonds,Non-Residents
50,2018-03-01,3,2018,Corporate Bonds_Retail Clients,1573,CORP,Corporate Bonds,Retail Clients
98,2018-03-01,3,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
110,2018-03-01,3,2018,Other Domestic Bonds_Banks,2,CORP,Other Domestic Bonds,Banks
122,2018-03-01,3,2018,Other Domestic Bonds_Institutional Clients,72,CORP,Other Domestic Bonds,Institutional Clients
86,2018-03-01,3,2018,Other Domestic Bonds_Investment Dealers,1,CORP,Other Domestic Bonds,Investment Dealers
158,2018-03-01,3,2018,Other Domestic Bonds_Issuer,0.0,CORP,Other Domestic Bonds,Issuer
146,2018-03-01,3,2018,Other Domestic Bonds_Non-Residents,261,CORP,Other Domestic Bonds,Non-Residents
134,2018-03-01,3,2018,Other Domestic Bonds_Retail Clients,3,CORP,Other Domestic Bonds,Retail Clients
15,2018-04-01,4,2018,Corporate Bonds_Anonymous Systems: IDBBs and ATSs,2109,CORP,Corporate Bonds,Anonymous Systems: IDBBs and ATSs
27,2018-04-01,4,2018,Corporate Bonds_Banks,1600,CORP,Corporate Bonds,Banks
39,2018-04-01,4,2018,Corporate Bonds_Institutional Clients,34293,CORP,Corporate Bonds,Institutional Clients
3,2018-04-01,4,2018,Corporate Bonds_Investment Dealers,2566,CORP,Corporate Bonds,Investment Dealers
75,2018-04-01,4,2018,Corporate Bonds_Issuer,45,CORP,Corporate Bonds,Issuer
63,2018-04-01,4,2018,Corporate Bonds_Non-Residents,5699,CORP,Corporate Bonds,Non-Residents
51,2018-04-01,4,2018,Corporate Bonds_Retail Clients,1370,CORP,Corporate Bonds,Retail Clients
99,2018-04-01,4,2018,Other Domestic Bonds_Anonymous Systems: IDBBs and ATSs,0,CORP,Other Domestic Bonds,Anonymous Systems: IDBBs and ATSs
111,2018-04-01,4,2018,Other Domestic Bonds_Banks,26,CORP,Other Domestic Bonds,Banks
