,date,month,year,instruments,volume
12,2018-01-01,1,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,15109
24,2018-01-01,1,2018,Federal Crown Corporation Bonds_Banks,3347
36,2018-01-01,1,2018,Federal Crown Corporation Bonds_Institutional Clients,19150
0,2018-01-01,1,2018,Federal Crown Corporation Bonds_Investment Dealers,2048
72,2018-01-01,1,2018,Federal Crown Corporation Bonds_Issuer,0
60,2018-01-01,1,2018,Federal Crown Corporation Bonds_Non-Residents,5053
48,2018-01-01,1,2018,Federal Crown Corporation Bonds_Retail Clients,187
96,2018-01-01,1,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,41663
108,2018-01-01,1,2018,Provincial Bonds_Banks,7285
120,2018-01-01,1,2018,Provincial Bonds_Institutional Clients,51714
84,2018-01-01,1,2018,Provincial Bonds_Investment Dealers,3898
156,2018-01-01,1,2018,Provincial Bonds_Issuer,323
144,2018-01-01,1,2018,Provincial Bonds_Non-Residents,4645
132,2018-01-01,1,2018,Provincial Bonds_Retail Clients,600
13,2018-02-01,2,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,15629
25,2018-02-01,2,2018,Federal Crown Corporation Bonds_Banks,4360
37,2018-02-01,2,2018,Federal Crown Corporation Bonds_Institutional Clients,20796
1,2018-02-01,2,2018,Federal Crown Corporation Bonds_Investment Dealers,3769
73,2018-02-01,2,2018,Federal Crown Corporation Bonds_Issuer,26
61,2018-02-01,2,2018,Federal Crown Corporation Bonds_Non-Residents,3402
49,2018-02-01,2,2018,Federal Crown Corporation Bonds_Retail Clients,125
97,2018-02-01,2,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,34753
109,2018-02-01,2,2018,Provincial Bonds_Banks,4967
121,2018-02-01,2,2018,Provincial Bonds_Institutional Clients,38559
85,2018-02-01,2,2018,Provincial Bonds_Investment Dealers,2858
157,2018-02-01,2,2018,Provincial Bonds_Issuer,302
145,2018-02-01,2,2018,Provincial Bonds_Non-Residents,3522
133,2018-02-01,2,2018,Provincial Bonds_Retail Clients,507
14,2018-03-01,3,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,15932
26,2018-03-01,3,2018,Federal Crown Corporation Bonds_Banks,5843
38,2018-03-01,3,2018,Federal Crown Corporation Bonds_Institutional Clients,25766
2,2018-03-01,3,2018,Federal Crown Corporation Bonds_Investment Dealers,3366
74,2018-03-01,3,2018,Federal Crown Corporation Bonds_Issuer,80
62,2018-03-01,3,2018,Federal Crown Corporation Bonds_Non-Residents,8816
50,2018-03-01,3,2018,Federal Crown Corporation Bonds_Retail Clients,180
98,2018-03-01,3,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,33580
110,2018-03-01,3,2018,Provincial Bonds_Banks,6073
122,2018-03-01,3,2018,Provincial Bonds_Institutional Clients,42376
86,2018-03-01,3,2018,Provincial Bonds_Investment Dealers,3310
158,2018-03-01,3,2018,Provincial Bonds_Issuer,1144
146,2018-03-01,3,2018,Provincial Bonds_Non-Residents,6524
134,2018-03-01,3,2018,Provincial Bonds_Retail Clients,396
15,2018-04-01,4,2018,Federal Crown Corporation Bonds_Anonymous Systems: IDBBs and ATSs,21247
27,2018-04-01,4,2018,Federal Crown Corporation Bonds_Banks,4176
39,2018-04-01,4,2018,Federal Crown Corporation Bonds_Institutional Clients,20035
3,2018-04-01,4,2018,Federal Crown Corporation Bonds_Investment Dealers,3970
75,2018-04-01,4,2018,Federal Crown Corporation Bonds_Issuer,16
63,2018-04-01,4,2018,Federal Crown Corporation Bonds_Non-Residents,8079
51,2018-04-01,4,2018,Federal Crown Corporation Bonds_Retail Clients,140
99,2018-04-01,4,2018,Provincial Bonds_Anonymous Systems: IDBBs and ATSs,35942
111,2018-04-01,4,2018,Provincial Bonds_Banks,7806
