,date,month,year,instruments,volume
96,2018-01-01,1,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,164
108,2018-01-01,1,2018,Asset-Backed Securities_Banks,36
120,2018-01-01,1,2018,Asset-Backed Securities_Institutional Clients,676
84,2018-01-01,1,2018,Asset-Backed Securities_Investment Dealers,315
156,2018-01-01,1,2018,Asset-Backed Securities_Issuer,550.0
144,2018-01-01,1,2018,Asset-Backed Securities_Non-Residents,25
132,2018-01-01,1,2018,Asset-Backed Securities_Retail Clients,1
12,2018-01-01,1,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,196
24,2018-01-01,1,2018,Mortgage Backed Securities_Banks,1283
36,2018-01-01,1,2018,Mortgage Backed Securities_Institutional Clients,3055
0,2018-01-01,1,2018,Mortgage Backed Securities_Investment Dealers,522
72,2018-01-01,1,2018,Mortgage Backed Securities_Issuer,60
60,2018-01-01,1,2018,Mortgage Backed Securities_Non-Residents,23
48,2018-01-01,1,2018,Mortgage Backed Securities_Retail Clients,16
97,2018-02-01,2,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,104
109,2018-02-01,2,2018,Asset-Backed Securities_Banks,8
121,2018-02-01,2,2018,Asset-Backed Securities_Institutional Clients,543
85,2018-02-01,2,2018,Asset-Backed Securities_Investment Dealers,35
157,2018-02-01,2,2018,Asset-Backed Securities_Issuer,0.0
145,2018-02-01,2,2018,Asset-Backed Securities_Non-Residents,49
133,2018-02-01,2,2018,Asset-Backed Securities_Retail Clients,2
13,2018-02-01,2,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,198
25,2018-02-01,2,2018,Mortgage Backed Securities_Banks,3283
37,2018-02-01,2,2018,Mortgage Backed Securities_Institutional Clients,4090
1,2018-02-01,2,2018,Mortgage Backed Securities_Investment Dealers,1374
73,2018-02-01,2,2018,Mortgage Backed Securities_Issuer,0
61,2018-02-01,2,2018,Mortgage Backed Securities_Non-Residents,208
49,2018-02-01,2,2018,Mortgage Backed Securities_Retail Clients,14
98,2018-03-01,3,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,48
110,2018-03-01,3,2018,Asset-Backed Securities_Banks,1
122,2018-03-01,3,2018,Asset-Backed Securities_Institutional Clients,631
86,2018-03-01,3,2018,Asset-Backed Securities_Investment Dealers,63
158,2018-03-01,3,2018,Asset-Backed Securities_Issuer,0.0
146,2018-03-01,3,2018,Asset-Backed Securities_Non-Residents,26
134,2018-03-01,3,2018,Asset-Backed Securities_Retail Clients,9
14,2018-03-01,3,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,4
26,2018-03-01,3,2018,Mortgage Backed Securities_Banks,3401
38,2018-03-01,3,2018,Mortgage Backed Securities_Institutional Clients,6521
2,2018-03-01,3,2018,Mortgage Backed Securities_Investment Dealers,724
74,2018-03-01,3,2018,Mortgage Backed Securities_Issuer,783
62,2018-03-01,3,2018,Mortgage Backed Securities_Non-Residents,25
50,2018-03-01,3,2018,Mortgage Backed Securities_Retail Clients,13
99,2018-04-01,4,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,121
111,2018-04-01,4,2018,Asset-Backed Securities_Banks,6
123,2018-04-01,4,2018,Asset-Backed Securities_Institutional Clients,768
87,2018-04-01,4,2018,Asset-Backed Securities_Investment Dealers,28
159,2018-04-01,4,2018,Asset-Backed Securities_Issuer,0.0
147,2018-04-01,4,2018,Asset-Backed Securities_Non-Residents,53
135,2018-04-01,4,2018,Asset-Backed Securities_Retail Clients,2
15,2018-04-01,4,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,64
27,2018-04-01,4,2018,Mortgage Backed Securities_Banks,978
39,2018-04-01,4,2018,Mortgage Backed Securities_Institutional Clients,5230
3,2018-04-01,4,2018,Mortgage Backed Securities_Investment Dealers,1334
75,2018-04-01,4,2018,Mortgage Backed Securities_Issuer,1317
63,2018-04-01,4,2018,Mortgage Backed Securities_Non-Residents,232
51,2018-04-01,4,2018,Mortgage Backed Securities_Retail Clients,39
100,2018-05-01,5,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,48
112,2018-05-01,5,2018,Asset-Backed Securities_Banks,1
124,2018-05-01,5,2018,Asset-Backed Securities_Institutional Clients,1337
88,2018-05-01,5,2018,Asset-Backed Securities_Investment Dealers,7
160,2018-05-01,5,2018,Asset-Backed Securities_Issuer,0.0
148,2018-05-01,5,2018,Asset-Backed Securities_Non-Residents,17
136,2018-05-01,5,2018,Asset-Backed Securities_Retail Clients,1
16,2018-05-01,5,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,29
28,2018-05-01,5,2018,Mortgage Backed Securities_Banks,704
40,2018-05-01,5,2018,Mortgage Backed Securities_Institutional Clients,3038
4,2018-05-01,5,2018,Mortgage Backed Securities_Investment Dealers,620
76,2018-05-01,5,2018,Mortgage Backed Securities_Issuer,693
64,2018-05-01,5,2018,Mortgage Backed Securities_Non-Residents,1
52,2018-05-01,5,2018,Mortgage Backed Securities_Retail Clients,78
101,2018-06-01,6,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,119
113,2018-06-01,6,2018,Asset-Backed Securities_Banks,102
125,2018-06-01,6,2018,Asset-Backed Securities_Institutional Clients,1380
89,2018-06-01,6,2018,Asset-Backed Securities_Investment Dealers,95
161,2018-06-01,6,2018,Asset-Backed Securities_Issuer,0.0
149,2018-06-01,6,2018,Asset-Backed Securities_Non-Residents,140
137,2018-06-01,6,2018,Asset-Backed Securities_Retail Clients,1
17,2018-06-01,6,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
29,2018-06-01,6,2018,Mortgage Backed Securities_Banks,1553
41,2018-06-01,6,2018,Mortgage Backed Securities_Institutional Clients,3476
5,2018-06-01,6,2018,Mortgage Backed Securities_Investment Dealers,782
77,2018-06-01,6,2018,Mortgage Backed Securities_Issuer,642
65,2018-06-01,6,2018,Mortgage Backed Securities_Non-Residents,10
53,2018-06-01,6,2018,Mortgage Backed Securities_Retail Clients,24
102,2018-07-01,7,2018,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,230
114,2018-07-01,7,2018,Asset-Backed Securities_Banks,9
126,2018-07-01,7,2018,Asset-Backed Securities_Institutional Clients,762
90,2018-07-01,7,2018,Asset-Backed Securities_Investment Dealers,77
162,2018-07-01,7,2018,Asset-Backed Securities_Issuer,0.0
150,2018-07-01,7,2018,Asset-Backed Securities_Non-Residents,20
138,2018-07-01,7,2018,Asset-Backed Securities_Retail Clients,2
18,2018-07-01,7,2018,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,272
30,2018-07-01,7,2018,Mortgage Backed Securities_Banks,1884
42,2018-07-01,7,2018,Mortgage Backed Securities_Institutional Clients,4039
6,2018-07-01,7,2018,Mortgage Backed Securities_Investment Dealers,622
78,2018-07-01,7,2018,Mortgage Backed Securities_Issuer,404
66,2018-07-01,7,2018,Mortgage Backed Securities_Non-Residents,91
