,date,month,year,instruments,volume
96,2018-01-01,1,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,580
108,2018-01-01,1,2018,Municipal bonds_Banks,107
120,2018-01-01,1,2018,Municipal bonds_Institutional Clients,1329
84,2018-01-01,1,2018,Municipal bonds_Investment Dealers,268
156,2018-01-01,1,2018,Municipal bonds_Issuer,0
144,2018-01-01,1,2018,Municipal bonds_Non-Residents,224
132,2018-01-01,1,2018,Municipal bonds_Retail Clients,145
12,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,216
24,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Banks,95
36,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2955
0,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,282
72,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Issuer,25
60,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,100
48,2018-01-01,1,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,396
97,2018-02-01,2,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,637
109,2018-02-01,2,2018,Municipal bonds_Banks,188
121,2018-02-01,2,2018,Municipal bonds_Institutional Clients,1513
85,2018-02-01,2,2018,Municipal bonds_Investment Dealers,171
157,2018-02-01,2,2018,Municipal bonds_Issuer,0
145,2018-02-01,2,2018,Municipal bonds_Non-Residents,203
133,2018-02-01,2,2018,Municipal bonds_Retail Clients,187
13,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,221
25,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Banks,37
37,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2484
1,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,121
73,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Issuer,40
61,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,104
49,2018-02-01,2,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,342
98,2018-03-01,3,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,637
110,2018-03-01,3,2018,Municipal bonds_Banks,161
122,2018-03-01,3,2018,Municipal bonds_Institutional Clients,1528
86,2018-03-01,3,2018,Municipal bonds_Investment Dealers,458
158,2018-03-01,3,2018,Municipal bonds_Issuer,0
146,2018-03-01,3,2018,Municipal bonds_Non-Residents,441
134,2018-03-01,3,2018,Municipal bonds_Retail Clients,182
14,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,277
26,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Banks,75
38,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3313
2,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,174
74,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Issuer,69
62,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,180
50,2018-03-01,3,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,421
99,2018-04-01,4,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,280
111,2018-04-01,4,2018,Municipal bonds_Banks,128
123,2018-04-01,4,2018,Municipal bonds_Institutional Clients,1649
87,2018-04-01,4,2018,Municipal bonds_Investment Dealers,460
159,2018-04-01,4,2018,Municipal bonds_Issuer,0
147,2018-04-01,4,2018,Municipal bonds_Non-Residents,241
135,2018-04-01,4,2018,Municipal bonds_Retail Clients,100
15,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,113
27,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Banks,102
39,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,3177
3,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,228
75,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Issuer,50
63,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,247
51,2018-04-01,4,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,294
100,2018-05-01,5,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,487
112,2018-05-01,5,2018,Municipal bonds_Banks,108
124,2018-05-01,5,2018,Municipal bonds_Institutional Clients,1123
88,2018-05-01,5,2018,Municipal bonds_Investment Dealers,222
160,2018-05-01,5,2018,Municipal bonds_Issuer,7
148,2018-05-01,5,2018,Municipal bonds_Non-Residents,250
136,2018-05-01,5,2018,Municipal bonds_Retail Clients,172
16,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,483
28,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Banks,75
40,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Institutional Clients,2474
4,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Investment Dealers,243
76,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Issuer,50
64,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Non-Residents,136
52,2018-05-01,5,2018,Strip Bond Trading (coupons and residuals)_Retail Clients,331
101,2018-06-01,6,2018,Municipal bonds_Anonymous Systems: IDBBs and ATSs,269
